RNAseq_sample_name,replicate_sample,sample_name,well_id,microarray_run_id,ontology_color,main_structure,sub_structure,ontology_structure_id,ontology_structure_acronym,hemisphere,brain,million_clusters,clip_percentage,RIN_RNA_quality,rnaseq_run_id,A.Pct,C.Pct,G.Pct,T.Pct,N.Pct
S010002_L7.LB16,No,S010002,105,275-104,#FF7B62,PL,SPL,4101,SPL-s,R,1,36.467,6.56,8,H15699,25.41,25.22,24.15,25.21,0.01
S010003_L7.LB19,No,S010003,113,275-104,#FF7B62,PL,SPL,4101,SPL-s,R,1,52.991,24.45,7.5,V00091,20.87,7.14,26.3,24.34,23.4
S010006_L8.LB27,No,S010006,193,275-104,#FF7B62,PL,SPL,4099,SPL-i,L,1,37.405,4.23,7.2,H15699,25.88,24.43,23.74,25.95,0.01
S010007_L4.LB20,No,S010007,145,275-104,#FF5D62,PL,AnG-s,4113,AnG-s,L,1,29.974,21.4,6,H15699,26.29,25.52,24.35,23.84,0.01
S010017_L1.LB2,No,S010017,114,275-104,#E8D959,FL,SFG-l,4027,SFG-l,R,1,34.29,2.26,7.3,H16345,24.97,24.95,24.71,25.36,0.01
S010021_L8.LB23,No,S010021,146,275-104,#E8CA59,FL,OrbGyri,4061,LOrG,R,1,28.165,14.42,7.2,H15699,26.43,24.74,23.92,24.9,0.01
S010034_L2.LB12,No,S010034,123,275-104,#E8C459,FL,GRe,4048,GRe,L,1,35.084,6.68,7.2,H15699,25.89,24.8,23.62,25.67,0.02
S010035_L14.LB1,No,S010035,131,275-104,#E8CB59,FL,OrbGyri,4051,MOrG,L,1,42.266,25.21,7.5,V00095,19.28,8.27,26.44,24.33,23.24
S010035_L1.LB1,Yes,S010035,131,275-104,#E8CB59,FL,OrbGyri,4051,MOrG,L,1,42.266,25.21,7.5,V00091,19.28,8.27,26.44,24.33,23.24
S010044_L2.LB12,No,S010044,265,275-104,#E8C459,FL,GRe,4048,GRe,L,1,30.793,2.52,6.7,H15700,25.92,24.37,23.45,26.25,0.01
S010046_L4.LB21,No,S010046,281,275-104,#E8CA59,FL,OrbGyri,4060,LOrG,L,1,32.421,8.89,6.4,H15699,25.82,24.92,23.95,25.29,0.01
S010047_L10.LB4,No,S010047,194,275-104,#E8C659,FL,orIFG,4045,orIFG,L,1,50.571,38.29,5.6,V00095,23.89,25.67,26.5,25.37,23.97
S010048_L34.LB22,No,S010048,202,275-104,#FF5D62,PL,AnG-s,4116,AnG-s,R,1,51.644,41.67,4.8,V00091,34.04,19.01,26.95,25.26,23.38
S010050_L3.LB14,No,S010050,218,275-104,#FF7462,PL,Pcu,4120,Pcu-s,L,1,39.365,1.74,5.9,H16345,25.18,24.79,24.49,25.52,0.01
S010052_L6.LB15,No,S010052,234,275-104,#FF7B62,PL,SPL,4099,SPL-i,L,1,45.546,35.44,6.6,V00091,27.09,17.48,27.54,24.35,22.76
S010053_L5.LB9,No,S010053,242,275-104,#FF5D62,PL,AnG-s,4113,AnG-s,L,1,29.436,6.66,6.6,H15967,25.44,25.31,24.21,25.03,0.01
S010055_L1.LB6,No,S010055,258,275-104,#FF5D62,PL,AnG-i,4117,AnG-i,R,1,29.215,3.5,7.2,H15699,25.59,24.67,24.02,25.7,0.02
S010055_L3.LB5,Yes,S010055,258,275-104,#FF5D62,PL,AnG-i,4117,AnG-i,R,1,53.095,32.88,7.2,V00091,23.96,11.77,26.64,24.85,23.14
S010057_L7.LB13,No,S010057,274,275-104,#FF7462,PL,Pcu,4124,Pcu-i,R,1,38.515,1.81,7.3,H16345,25.47,24.48,24.25,25.79,0.01
S010059_L6.LB11,No,S010059,195,275-104,#FF5D62,PL,AnG-i,4114,AnG-i,L,1,29.947,3.21,7.4,H15699,25.57,24.74,23.93,25.76,0.01
S010061_L4.LB23,No,S010061,211,275-104,#E88051,OL,str_V1,4197,LiG-str,R,1,29.194,8.43,6.7,H15699,26.49,24.34,23.4,25.76,0.01
S010061_L4.LB25,Yes,S010061,211,275-104,#E88051,OL,str_V1,4197,LiG-str,R,1,32.551,5.2,6.7,H15699,26.26,24.32,23.33,26.07,0.01
S010062_L3.LB14,No,S010062,219,275-104,#E87751,OL,pest_V2,4189,Cun-pest,R,1,30.522,9.67,6.8,H15699,26.3,24.69,23.61,25.38,0.02
S010063_L2.LB3,No,S010063,227,275-104,#E87751,OL,pest_V2,4186,Cun-pest,L,1,36.052,5.55,7.5,H15970,25.59,24.32,23.83,25.62,0.64
S010064_L11.LB9,No,S010064,235,275-104,#E88051,OL,str_V1,4194,LiG-str,L,1,20.947,60.07,6.8,V00091,42.07,28.33,27.55,24.86,23.32
S010066_L6.LB12,No,S010066,251,275-104,#E88051,OL,pest_V2,4196,LiG-pest,R,1,33.445,2.06,5.7,H15700,25.87,24.33,23.53,26.26,0.01
S010067_L6.LB12,No,S010067,259,275-104,#E88051,OL,pest_V2,4193,LiG-pest,L,1,36.501,6.54,5.2,H15699,26.15,24.53,23.41,25.91,0.01
S010070_L2.LB10,No,S010070,313,275-105,#FF5D62,PL,AnG-i,4117,AnG-i,R,1,28.337,11.76,6.8,H15699,25.99,25.14,23.83,25.01,0.02
S010071_L1.LB2,No,S010071,321,275-105,#FF5D62,PL,AnG-s,4116,AnG-s,R,1,28.7,6.39,8.3,H15699,25.73,24.88,23.84,25.53,0.02
S010081_L3.LB13,No,S010081,306,275-105,#E88051,OL,str_V1,4194,LiG-str,L,1,30.065,17.86,6.6,H15699,27.17,24.81,23.38,24.61,0.02
S010087_L7.LB15,No,S010087,354,275-105,#E8D959,FL,SFG-m,4026,SFG-m,R,1,32.047,17.75,7.6,H15699,26.3,25.33,23.93,24.42,0.01
S010097_L4.LB27,No,S010097,339,275-105,#E8C459,FL,GRe,4049,GRe,R,1,28.703,5.08,7.1,H15700,26.51,24.01,23.04,26.43,0
S010111_L4.LB20,No,S010111,1257,275-115,#E8C659,FL,orIFG,4046,orIFG,R,1,31.503,2.65,7.7,H15700,25.53,24.74,23.87,25.85,0
S010111_L4.LB21,Yes,S010111,1257,275-115,#E8C659,FL,orIFG,4046,orIFG,R,1,32.473,3.02,7.7,H15700,25.58,24.74,23.82,25.85,0
S010113_L2.LB9,No,S010113,402,275-106,#E8C659,FL,orIFG,4046,orIFG,R,1,28.003,12.18,7.5,H15699,26.27,24.96,23.6,25.15,0.02
S010117_L1.LB6,No,S010117,434,275-106,#E8C659,FL,orIFG,4045,orIFG,L,1,34.394,2.25,7.4,H15700,25.66,24.51,23.78,26.04,0.01
S010127_L33.LB20,No,S010127,419,275-106,#E8CB59,FL,OrbGyri,4052,MOrG,R,1,54.393,25.22,7.3,V00091,20.68,7.56,25.83,24.87,23.98
S010128_L8.LB22,No,S010128,427,275-106,#E8C459,FL,GRe,4049,GRe,R,1,29.157,17.09,7.2,H15699,26.54,25.3,23.55,24.6,0.01
S010140_L3.LB14,No,S010140,428,275-106,#FF6C62,PL,PoG-cs,4092,PoG-cs,R,1,30.991,2.59,6.9,H15602,25.94,24.36,23.56,26.14,0
S010143_L5.LB2,No,S010143,452,275-106,#E8CF59,FL,PCLa-s,4076,PCLa-s,R,1,53.067,3.24,6.5,H16345,25.13,24.72,24.64,25.5,0.01
S010144_L2.LB10,No,S010144,460,275-106,#E8CF59,FL,PCLa-s,4073,PCLa-s,L,1,38.826,1.76,6.8,H16345,25.16,24.76,24.48,25.59,0.01
S010150_L1.LB3,No,S010150,413,275-106,#FF6C62,PL,PoG-cs,4087,PoG-cs,L,1,28.799,3.23,6.6,H16345,25.14,24.87,24.55,25.43,0.01
S010152_L3.LB18,No,S010152,429,275-106,#FF7462,PL,Pcu,4120,Pcu-s,L,1,40.307,2.32,6.9,H16345,25.13,24.83,24.58,25.45,0.01
S010153_L2.LB12,No,S010153,437,275-106,#E8CF59,FL,PCLa-i,4074,PCLa-i,L,1,37.473,1.51,7,H16345,25.43,24.55,24.16,25.85,0.01
S010156_L2.LB9,No,S010156,461,275-106,#FF7462,PL,Pcu,4124,Pcu-i,R,1,34.646,1.53,6.8,H16345,25.2,24.78,24.47,25.54,0.01
S010157_L7.LB15,No,S010157,469,275-106,#FF6C62,PL,PoG-l,4089,PoG-il,L,1,54.213,43.3,6.1,V00095,30.68,23.85,26.87,25.56,23.85
S010160_L4.LB7,No,S010160,398,275-106,#FFF161,Ins,Insula,4271,LIG,R,1,50.101,29.77,6.3,V00095,26.98,5.48,25.85,24.82,23.86
S010161_L12.LB15,No,S010161,406,275-106,#FF997F,TL,STG,4139,STG-i,R,1,47.472,33.3,6.7,V00091,26.59,18.15,26.7,25.18,23.64
S010165_L5.LB2,No,S010165,513,275-106,#E88051,OL,str_V1,4197,LiG-str,R,1,28.299,4.36,5.7,H15700,26.66,23.6,22.85,26.87,0.01
S010173_L6.LB7,No,S010173,482,275-106,#FF5D62,PL,SMG-i,4107,SMG-i,L,1,38.982,2.14,6.5,H16345,25.34,24.66,24.36,25.64,0.01
S010179_L6.LB10,No,S010179,530,275-106,#E8CD59,FL,MFG,4033,MFG-s,R,1,40.027,6,6.9,H15603,25.81,24.57,24.05,25.58,0
S010186_L2.LB11,No,S010186,593,275-107,#E8CD59,FL,MFG,4031,MFG-i,L,1,37.949,1.46,7.2,H16345,25.09,24.8,24.64,25.47,0.01
S010196_L8.LB25,No,S010196,571,275-107,#FF877F,TL,FuG-its,4162,FuG-its,R,1,29.195,4.88,7.5,H15699,25.48,25.01,24.13,25.37,0.01
S010207_L6.LB19,No,S010207,556,275-107,#FF907F,TL,MTG,4142,MTG-s,L,1,28.893,5.4,7.1,H15967,25.5,25.09,24.14,25.26,0.01
S010208_L3.LB19,No,S010208,564,275-107,#FF907F,TL,MTG,4143,MTG-i,L,1,28.46,11.13,6.8,H15699,26.05,24.83,23.85,25.25,0.02
S010210_L5.LB1,No,S010210,485,275-107,#FF877F,TL,FuG-its,4158,FuG-its,L,1,29.199,5.95,6.9,H15699,25.53,25.03,24.02,25.41,0.01
S010213_L11.LB9,No,S010213,509,275-107,#BF934C,PHG,PHG,4245,PHG-cos,L,1,38.386,40.83,7,V00095,28.81,22.06,27.26,24.91,23.41
S010217_L5.LB6,No,S010217,541,275-107,#895BFF,Str,Putamen,4289,Pu,R,1,31.632,2.05,6.1,H15700,26.68,23.65,22.65,27.01,0.01
S010224_L5.LB6,No,S010224,502,275-107,#895BFF,Str,Caudate,4280,HCd,L,1,36.727,4.39,7.1,H15699,25.98,24.43,23.53,26.05,0.01
S010226_L8.LB20,No,S010226,518,275-107,#7F5B33,CgG,CgG,4226,CgGf-s,R,1,29.029,20.74,6.9,H15699,26.71,25.02,23.85,24.41,0.01
S010227_L1.LB6,No,S010227,601,275-107,#FF5D62,PL,SMG-i,4110,SMG-i,R,1,39.445,1.74,7.3,H16345,25.04,24.82,24.71,25.43,0.01
S010233_L2.LB10,No,S010233,649,275-107,#E8D659,FL,PrG,4018,PrG-sl,R,1,28.501,3.24,7.4,H15700,26.53,23.78,22.77,26.92,0.01
S010235_L4.LB21,No,S010235,665,275-107,#E8CF59,FL,PCLa-s,4076,PCLa-s,R,1,41.742,2.32,6.5,H16345,25.16,24.76,24.46,25.61,0.01
S010236_L6.LB9,No,S010236,578,275-107,#E8CF59,FL,PCLa-s,4073,PCLa-s,L,1,45.072,1.92,7,H16345,25.24,24.78,24.42,25.55,0.01
S010236_L8.LB21,Yes,S010236,578,275-107,#E8CF59,FL,PCLa-s,4073,PCLa-s,L,1,31.573,6.37,7,H15699,25.54,25.06,24.15,25.24,0.01
S010237_L3.LB13,No,S010237,586,275-107,#E8CF59,FL,PCLa-i,4074,PCLa-i,L,1,37.632,1.75,7.5,H16345,25.34,24.61,24.35,25.7,0.01
S010238_L3.LB7,No,S010238,594,275-107,#E8CF59,FL,PCLa-i,4077,PCLa-i,R,1,35.377,2.25,6.6,H15970,25.86,24.2,23.84,26.1,0.01
S010239_L4.LB22,No,S010239,602,275-107,#E8D659,FL,PrG,4013,PrG-sl,L,1,34.971,13.13,6.4,H15699,25.88,25.44,24.1,24.56,0.01
S010241_L8.LB21,No,S010241,618,275-107,#FF6C62,PL,PoG-l,4088,PoG-sl,L,1,29.46,4.29,6.9,H15700,26.03,24.33,23.52,26.11,0.01
S010243_L6.LB8,No,S010243,634,275-107,#FF6C62,PL,PoG-cs,4087,PoG-cs,L,1,43.894,1.77,7,H16345,25.6,24.37,24.16,25.87,0.01
S010248_L3.LB19,No,S010248,579,275-107,#FF5D62,PL,SMG-i,4107,SMG-i,L,1,34.213,2.08,7.3,H16345,25.13,24.84,24.55,25.47,0.01
S010250_L2.LB3,No,S010250,595,275-107,#FF907F,TL,MTG,4146,MTG-i,R,1,33.122,47.71,6.5,V00095,30.82,33.56,26.79,25.77,23.28
S010252_L8.LB16,No,S010252,611,275-107,#FF907F,TL,MTG,4145,MTG-s,R,1,32.699,8.5,6.7,H15967,25.79,25.24,23.87,25.1,0.01
S010254_L6.LB10,No,S010254,627,275-107,#FF8D7F,TL,ITG,4154,ITG-l,R,1,31.577,2.61,6.5,H15700,26.28,23.99,23.09,26.63,0.01
S010265_L13.LB19,No,S010265,612,275-108,#FF997F,TL,STG,4136,STG-i,L,1,48.507,29.07,6.8,V00095,24.24,8.58,26.05,24.74,23.73
S010273_L5.LB1,No,S010273,713,275-115,#FF5D62,PL,SMG-i,4110,SMG-i,R,1,42.575,3.02,6.4,H16345,25.18,24.82,24.51,25.49,0
S010275_L25.LB23,No,S010275,729,275-108,#FF6C62,PL,PoG-l,4093,PoG-sl,R,1,55.279,25.74,6.8,V00091,20.97,7.4,26.54,24.26,23.25
S010281_L7.LB11,No,S010281,682,275-108,#E8CF59,FL,PCLa-i,4077,PCLa-i,R,1,44.849,1.53,7,H16345,25.15,24.78,24.58,25.49,0.01
S010323_L32.LB18,No,S010323,833,275-109,#E8D959,FL,SFG-l,4024,SFG-l,L,1,56.476,22.34,7.2,V00091,21.08,5.8,25.88,24.55,23.75
S010338_L7.LB14,No,S010338,858,275-109,#FF8D7F,TL,ITG,4150,ITG-l,L,1,38.076,5.63,7.8,H15699,25.5,25.06,24.14,25.29,0.01
S010351_L6.LB10,No,S010351,772,275-109,#EFFF61,Ins,Insula,4273,SIG,L,1,33.211,4.86,7,H15699,25.26,25.22,24.15,25.35,0.01
S010354_L6.LB11,No,S010354,796,275-109,#BF934C,PHG,PHG,4247,PHG-l,R,1,46.814,35.27,6.3,V00095,32.6,5.1,26.38,24.21,23.28
S010355_L24.LB22,No,S010355,804,275-109,#BF934C,PHG,PHG,4248,PHG-cos,R,1,55.925,40.7,6.9,V00091,32.16,12.09,26.59,24.83,23.26
S010361_L7.LB13,No,S010361,852,275-109,#FF877F,TL,FuG-its,4158,FuG-its,L,1,28.916,3.32,6.9,H15700,25.55,24.55,23.7,25.74,0.46
S010363_L27.LB4,No,S010363,773,275-109,#BF934C,PHG,PHG,4245,PHG-cos,L,1,49.869,54.1,5.9,V00091,37.79,23.56,26.41,25.51,23.93
S010367_L4.LB23,No,S010367,897,275-113,#E8CD59,FL,MFG,4034,MFG-i,R,1,39.235,1.79,7.6,H16345,25.09,24.76,24.65,25.49,0.01
S010368_L7.LB13,No,S010368,905,275-113,#E8D959,FL,SFG-m,4023,SFG-m,L,1,37.238,12.28,7.1,H15699,26.16,25.2,23.99,24.64,0.01
S010369_L22.LB18,No,S010369,913,275-113,#E8D959,FL,SFG-m,4026,SFG-m,R,1,55.198,26.55,7.3,V00091,23.37,4.93,25.87,24.64,23.72
S010373_L10.LB7,No,S010373,945,275-113,#7F5B33,CgG,CgG,4227,CgGf-i,R,1,53.085,30.84,7,V00091,25.68,6.92,26.26,24.64,23.34
S010384_L5.LB27,No,S010384,938,275-113,#FF6C62,PL,PoG-cs,4092,PoG-cs,R,1,43.789,3.29,6.3,H16345,25.62,24.43,24.04,25.9,0.01
S010392_L3.LB16,No,S010392,907,275-113,#FFF161,Ins,Insula,4270,LIG,L,1,29.503,2.64,6.8,H15700,25.8,24.38,23.64,26.17,0.01
S010402_L20.LB13,No,S010402,892,275-113,#FF997F,TL,STG,4136,STG-i,L,1,55.553,30.23,6.9,V00091,27.31,4.66,25.69,24.94,23.93
S010412_L7.LB25,No,S010412,877,275-113,#EFFF61,Ins,Insula,4274,SIG,R,1,30.493,6.21,7.6,H15967,26.35,24.42,23.34,25.89,0.01
S010414_L5.LB2,No,S010414,893,275-113,#895BFF,Str,Caudate,4286,BCd,R,1,31.247,10.4,6.4,H15699,26.05,25,23.75,25.2,0.01
S010416_L6.LB8,No,S010416,909,275-113,#9C53E8,GP,GP,4298,GPe,R,1,34.401,11.4,5.7,H15699,26.22,25,23.73,25.05,0.01
S010417_L9.LB5,No,S010417,917,275-113,#9C53E8,GP,GP,4296,GPi,L,1,37.063,56.52,5.5,V00091,37.31,30.4,27.72,26.04,22.96
S010419_L3.LB16,No,S010419,933,275-113,#895BFF,Str,Putamen,4288,Pu,L,1,32.487,8.05,6.2,H15699,26.28,24.57,23.34,25.79,0.02
S010420_L8.LB14,No,S010420,941,275-113,#895BFF,Str,Putamen,4288,Pu,L,1,31.376,8.66,6.2,H15967,26.56,24.51,23.29,25.63,0.01
S010425_L6.LB6,No,S010425,985,275-111,#E8D959,FL,SFG-l,4027,SFG-l,R,1,54.998,1.74,7.3,H16345,24.93,24.96,24.76,25.34,0.01
S010431_L5.LB8,No,S010431,1033,275-111,#E8D659,FL,PrG,4019,PrG-il,R,1,50.563,26.39,7,V00095,23.57,5.11,25.82,24.8,23.9
S010435_L8.LB3,No,S010435,970,275-111,#E8D959,FL,SFG-m,4023,SFG-m,L,1,46.89,29.58,7.1,V00091,22.58,9.47,26.21,24.58,23.37
S010436_L1.LB5,No,S010436,978,275-111,#E8D959,FL,SFG-l,4024,SFG-l,L,1,34.429,10.51,7.6,H15699,25.96,25.29,23.79,24.95,0.02
S010437_L1.LB5,No,S010437,986,275-111,#E8CD59,FL,MFG,4030,MFG-s,L,1,36.21,1.75,7.2,H16345,24.97,25.05,24.61,25.37,0.01
S010440_L4.LB8,No,S010440,1010,275-111,#E8D659,FL,PrG,4012,PrG-prc,L,1,53.696,30.36,7.5,V00091,23.42,8.04,25.95,25.04,23.85
S010443_L3.LB4,No,S010443,1034,275-111,#FF6C62,PL,PoG-l,4094,PoG-il,R,1,50.689,34.91,6.8,V00095,25.02,19.34,25.97,25.53,24.16
S010449_L1.LB2,No,S010449,971,275-111,#FF877F,TL,FuG-its,4162,FuG-its,R,1,28.773,4.42,7.4,H15700,26.04,24.28,23.36,26.31,0.01
S010450_L6.LB7,No,S010450,979,275-111,#FF8D7F,TL,ITG,4153,ITG-its,R,1,31.883,8.9,7.4,H15699,26.12,24.74,23.59,25.53,0.01
S010457_L2.LB2,No,S010457,1035,275-111,#FF997F,TL,STG,4138,STG-l,R,1,46.098,2.14,7,H15970,24.86,24.87,24.47,25.15,0.65
S010465_L6.LB8,No,S010465,1004,275-111,#FF8D7F,TL,ITG,4150,ITG-l,L,1,28.874,2.37,6.8,H15700,25.52,24.73,23.84,25.9,0.01
S010476_L5.LB11,No,S010476,997,275-111,#7F6233,CgG,CgG,4230,CgGp-s,L,1,53.522,24.52,7.7,V00091,21.65,1.45,26.29,24.02,23.13
S010477_L12.LB18,No,S010477,1005,275-111,#7F6233,CgG,CgG,4231,CgGp-i,L,1,41.166,34.84,7.2,V00095,25.87,14.03,26.64,24.55,23.43
S010492_L8.LB25,No,S010492,1097,275-112,#00D5E8,CbCx,CbCx,4772,He-Crus I,R,1,31.085,2.02,7.3,H15700,26.05,24.08,23.3,26.56,0.01
S010498_L9.LB3,No,S010498,1145,275-112,#00D5E8,CbCx,CbCx,4761,PV-IX,R,1,43.989,27,7.6,V00095,15.1,22.17,26.43,25.14,23.3
S010504_L6.LB11,No,S010504,1098,275-112,#00D5E8,CbCx,CbCx,4742,He-VIIIA,L,1,30.874,1.57,7.6,H15700,25.6,24.57,23.73,26.09,0.01
S010508_L5.LB5,No,S010508,1130,275-112,#00D5E8,CbCx,CbCx,4738,He-VI,L,1,34.25,8.99,7.6,H15699,25.37,25.45,24.16,25,0.01
S010535_L7.LB14,No,S010535,1209,275-112,#895BFF,Str,Caudate,4284,HCd,R,1,31.553,2.84,6.9,H15700,25.95,24.13,23.21,26.25,0.46
S010536_L1.LB20,No,S010536,1217,275-115,#895BFF,Str,Putamen,4289,Pu,R,1,41.143,53.84,6.6,V00095,44.4,13.38,26.87,24.6,23.09
S010536_L8.LB20,Yes,S010536,1217,275-115,#895BFF,Str,Putamen,4289,Pu,R,1,48.17,2.1,6.6,H16345,25.1,24.57,24.75,25.57,0
S010543_L2.LB4,No,S010543,1178,275-112,#9C53E8,GP,GP,4298,GPe,R,1,47.745,44.92,5.6,V00091,30.86,14.62,25.9,25.26,24
S010556_L2.LB1,No,S010556,1179,275-115,#9C53E8,GP,GP,4295,GPe,L,1,36.32,2.63,5.5,H15970,24.87,24.89,24.45,25.14,0.64
S010557_L35.LB23,No,S010557,1187,275-115,#895BFF,Str,Caudate,4282,BCd,L,1,53.577,52.54,6.5,V00091,47.05,8.48,26.65,24.32,23.28
