structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z
9143,92,160535133,BS,"7","facial motor nucleus, left",159127686,83,144,132,8.0,-41.0,-35.0
9137,92,160535307,BS,"6","abducens nucleus, left",159122217,89,143,134,2.0,-43.0,-34.0
9158,92,160535291,BS,"RPn","pontine raphe nucleus, left",158763790,92,144,132,-1.0,-41.0,-35.0
9698,92,160535275,BS,"8Ve","vestibular nuclei, left",159233515,82,144,134,9.0,-43.0,-35.0
9677,92,160535259,BS,"Sp5","spinal trigeminal nucleus, left",156687325,80,144,131,11.0,-40.0,-35.0
9492,92,160535227,BS,"Pn","pontine nuclei, left",158931290,87,145,120,4.0,-29.0,-36.0
9207,92,160535211,BS,"Pr5","principal sensory nucleus of trigeminal nerve, left",156681113,80,144,132,11.0,-41.0,-35.0
9206,92,160535195,BS,"Mo5","motor nucleus of trigeminal nerve, left",158173122,83,144,131,8.0,-40.0,-35.0
9155,92,160535147,BS,"SubC","nucleus subceruleus, left",156260971,85,144,132,6.0,-41.0,-35.0
9207,92,160535131,BS,"Pr5","principal sensory nucleus of trigeminal nerve, left",156257330,79,140,130,12.0,-39.0,-31.0
9206,92,160535305,BS,"Mo5","motor nucleus of trigeminal nerve, left",158171729,82,140,129,9.0,-38.0,-31.0
9178,92,160535289,BS,"SOC","superior olivary complex, left",158887693,82,140,127,9.0,-36.0,-31.0
10148,92,160535257,BS,"CGPo","central gray of the pons, left",159336482,86,140,132,5.0,-41.0,-31.0
10148,92,160535241,BS,"CGPo","central gray of the pons, left",159053883,85,140,132,6.0,-41.0,-31.0
9492,92,160535225,BS,"Pn","pontine nuclei, left",158930493,85,141,116,6.0,-25.0,-32.0
9456,92,160535209,BS,"MBRa","midbrain raphe nuclei, left",158753224,91,140,132,0.0,-41.0,-31.0
9161,92,160535193,BS,"PRF","pontine reticular formation, left",156257944,89,140,128,2.0,-37.0,-31.0
9152,92,160536137,BS,"MPB","medial parabrachial nucleus, left",158874366,82,140,133,9.0,-42.0,-31.0
9149,92,160535161,BS,"LC","locus ceruleus, left",158875398,85,140,133,6.0,-42.0,-31.0
4258,8,160091979,CX,"DG","dentate gyrus, left",145964255,120,129,107,-29.0,-16.0,-20.0
4257,8,160091963,CX,"CA4","CA4 field, left",145964256,120,128,107,-29.0,-16.0,-19.0
4255,8,160091931,CX,"CA2","CA2 field, left",145964254,124,125,107,-33.0,-16.0,-16.0
9149,91,160535145,BS,"LC","locus ceruleus, left",158869764,88,134,131,3.0,-40.0,-25.0
9152,91,160535129,BS,"MPB","medial parabrachial nucleus, left",158867395,87,134,132,4.0,-41.0,-25.0
9146,91,160535303,BS,"LPB","lateral parabrachial nucleus, left",158402832,82,134,132,9.0,-41.0,-25.0
9161,91,160535287,BS,"PRF","pontine reticular formation, left",155768282,90,134,127,1.0,-36.0,-25.0
9492,91,160535271,BS,"Pn","pontine nuclei, left",158165401,87,136,114,4.0,-23.0,-27.0
9103,91,160535255,BS,"IC","inferior colliculus, left",159148114,82,134,134,9.0,-43.0,-25.0
9004,91,160535239,BS,"CGMB","central gray substance of midbrain, left",159148116,86,134,133,5.0,-42.0,-25.0
9103,91,160535207,BS,"IC","inferior colliculus, left",158161970,83,134,134,8.0,-43.0,-25.0
9075,91,160535191,BS,"SNR","substantia nigra, pars reticulata, left",157683080,83,135,121,8.0,-30.0,-26.0
9074,91,160535175,BS,"SNC","substantia nigra, pars compacta, left",157683052,85,135,119,6.0,-28.0,-26.0
9067,91,160535159,BS,"VTA","ventral tegmental area, left",157706283,89,135,118,2.0,-27.0,-26.0
9020,91,160536103,BS,"CnF","cuneiform nucleus, left",158401655,84,134,131,7.0,-40.0,-25.0
9004,91,160536087,BS,"CGMB","central gray substance of midbrain, left",153253835,85,134,133,6.0,-42.0,-25.0
4596,6,160091486,CX,"LHA","lateral hypothalamic area, anterior region, left",158440291,100,115,86,-9.0,5.0,-6.0
4301,6,160091500,CX,"SptN","septal nuclei, left",158438715,98,95,86,-7.0,5.0,14.0
4518,7,160091618,CX,"Sb","subthalamic nucleus, left",158449679,99,117,94,-8.0,-3.0,-8.0
4507,7,160091570,CX,"ZI","zona incerta, left",146480724,100,112,94,-9.0,-3.0,-3.0
4672,7,160091584,CX,"MM","medial mammillary nucleus, left",158439716,93,124,94,-2.0,-3.0,-15.0
4440,9,160091897,CX,"LGd","dorsal lateral geniculate nucleus, left",157974498,118,118,117,-27.0,-26.0,-9.0
4444,9,160091833,CX,"MG","medial geniculate complex, left",156901563,105,113,117,-14.0,-26.0,-4.0
4440,9,160092007,CX,"LGd","dorsal lateral geniculate nucleus, left",156688954,117,118,117,-26.0,-26.0,-9.0
4409,9,160091959,CX,"DTLd","lateral group of nuclei, left, dorsal division",156890323,109,100,117,-18.0,-26.0,9.0
4258,9,160091911,CX,"DG","dentate gyrus, left",148020449,121,122,117,-30.0,-26.0,-13.0
4251,7,159438961,CX,"S","subiculum, left",147944867,108,139,94,-17.0,-3.0,-30.0
9558,93,165372250,BS,"12","hypoglossal nucleus, left",159225465,90,161,134,1.0,-43.0,-52.0
9543,93,165372234,BS,"Cu","cuneate nucleus, left",158868946,85,161,135,6.0,-44.0,-52.0
9546,93,165372218,BS,"10","dorsal motor nucleus of the vagus, left",159225466,89,161,136,2.0,-45.0,-52.0
9698,93,165372202,BS,"8Ve","vestibular nuclei, left",158869030,87,161,138,4.0,-47.0,-52.0
9677,93,165372186,BS,"Sp5","spinal trigeminal nucleus, left",156835216,85,162,132,6.0,-41.0,-53.0
9642,93,165372170,BS,"RaM","raphe nuclei of medulla",158927710,91,161,131,0.0,-40.0,-52.0
9614,93,165372154,BS,"LMRt","lateral medullary reticular group, left",156877130,86,162,129,5.0,-38.0,-53.0
9598,93,165372138,BS,"GiRt","gigantocellular group, left",159236990,89,162,132,2.0,-41.0,-53.0
9561,93,165372122,BS,"IO","inferior olivary complex, left",158445912,88,163,127,3.0,-36.0,-54.0
9543,93,165372252,BS,"Cu","cuneate nucleus, left",158880240,90,172,135,1.0,-44.0,-63.0
9677,93,165372188,BS,"Sp5","spinal trigeminal nucleus, left",156883132,88,169,134,3.0,-43.0,-60.0
9546,93,165372282,BS,"10","dorsal motor nucleus of the vagus, left",159227118,91,169,135,0.0,-44.0,-60.0
9543,93,165372266,BS,"Cu","cuneate nucleus, left",158869725,89,168,136,2.0,-45.0,-59.0
9561,93,165372106,BS,"IO","inferior olivary complex, left",158143206,88,160,125,3.0,-34.0,-51.0
9698,93,165372280,BS,"8Ve","vestibular nuclei, left",158834741,84,157,134,7.0,-43.0,-48.0
9677,93,165372264,BS,"Sp5","spinal trigeminal nucleus, left",156833972,86,157,132,5.0,-41.0,-48.0
9642,93,165372248,BS,"RaM","raphe nuclei of medulla",158926265,92,158,131,-1.0,-40.0,-49.0
9598,93,165372232,BS,"GiRt","gigantocellular group, left",159225204,90,158,131,1.0,-40.0,-49.0
9529,93,165372216,BS,"8Co","cochlear nuclei, left",156834027,80,157,133,11.0,-42.0,-48.0
9520,93,165372200,BS,"Arc","arcuate nucleus of medulla, left",159333435,92,160,126,-1.0,-35.0,-51.0
9492,93,165372184,BS,"Pn","pontine nuclei, left",159051862,92,160,122,-1.0,-31.0,-51.0
9143,93,165372168,BS,"7","facial motor nucleus, left",159378732,86,158,131,5.0,-40.0,-49.0
9137,93,165372152,BS,"6","abducens nucleus, left",159378546,87,156,135,4.0,-44.0,-47.0
9598,92,165372136,BS,"GiRt","gigantocellular group, left",158928369,91,149,125,0.0,-34.0,-40.0
9492,92,165372120,BS,"Pn","pontine nuclei, left",158947506,87,151,115,4.0,-24.0,-42.0
9178,92,165372104,BS,"SOC","superior olivary complex, left",159041175,85,149,123,6.0,-32.0,-40.0
4440,8,160091901,CX,"LGd","dorsal lateral geniculate nucleus, left",147711165,116,119,107,-25.0,-16.0,-10.0
9074,8,160091869,CX,"SNC","substantia nigra, pars compacta, left",147064714,106,120,107,-15.0,-16.0,-11.0
4254,8,160091915,CX,"CA1","CA1 field, left",147066198,123,131,107,-32.0,-16.0,-22.0
4648,6,160091566,CX,"PeF","perifornical nucleus, left",158405196,99,118,85,-8.0,6.0,-9.0
4637,6,160091502,CX,"VMH","ventromedial hypothalamic nucleus, left",158405193,97,118,85,-6.0,6.0,-9.0
4311,6,160091644,CX,"DBh","nucleus of the diagonal band, left, vertical division",158440955,108,121,86,-17.0,5.0,-12.0
4310,6,160091596,CX,"DBv","nucleus of the diagonal band, left, horizontal division",158454222,105,116,86,-14.0,5.0,-7.0
4367,6,160091662,CX,"COMA","cortico-medial group, left",157580518,112,128,86,-21.0,5.0,-19.0
4351,6,160091646,CX,"BMA","basomedial nucleus, left",157073473,111,133,86,-20.0,5.0,-24.0
4379,6,160091614,CX,"LA","lateral nucleus, left",147013783,112,139,85,-21.0,6.0,-30.0
4308,6,160091598,CX,"nbM","basal nucleus of meynert, left",158032961,116,123,86,-25.0,5.0,-14.0
9074,7,160091634,CX,"SNC","substantia nigra, pars compacta, left",146480718,97,124,94,-6.0,-3.0,-15.0
9075,7,160091586,CX,"SNR","substantia nigra, pars reticulata, left",157673938,99,122,94,-8.0,-3.0,-13.0
4597,7,160091538,CX,"PalHy","pallidohypothalamic nucleus, left",158439713,97,118,94,-6.0,-3.0,-9.0
4679,7,160091616,CX,"PHA","posterior hypothalamic area, left",158453293,95,116,94,-4.0,-3.0,-7.0
4675,7,160091600,CX,"LM","lateral mammillary nucleus, left",158439714,94,124,94,-3.0,-3.0,-15.0
4308,7,160091488,CX,"nbM","basal nucleus of meynert, left",149051712,114,116,94,-23.0,-3.0,-7.0
10145,5,159439107,CX,"OlfT","olfactory tubercle, left",158041236,104,127,72,-13.0,19.0,-18.0
9004,9,160091881,CX,"CGMB","central gray substance of midbrain, left",156982326,97,102,117,-6.0,-26.0,7.0
4255,9,160091863,CX,"CA2","CA2 field, left",148020447,129,121,117,-38.0,-26.0,-12.0
4254,9,160091847,CX,"CA1","CA1 field, left",148020448,126,126,117,-35.0,-26.0,-17.0
4281,10,160091867,CX,"TCd","tail of caudate nucleus, left",157070569,115,109,133,-24.0,-42.0,0.0
4258,10,160091851,CX,"DG","dentate gyrus, left",157086720,106,106,133,-15.0,-42.0,3.0
4256,10,160092009,CX,"CA3","CA3 field, left",157086569,109,107,133,-18.0,-42.0,2.0
4351,7,159439055,CX,"BMA","basomedial nucleus, left",147057075,111,124,94,-20.0,-3.0,-15.0
4322,7,159439023,CX,"Cl","claustrum, left",156634165,127,122,94,-36.0,-3.0,-13.0
4296,7,159226093,CX,"GPi","globus pallidus, internal segment, left",158449669,111,108,94,-20.0,-3.0,1.0
4295,7,159226077,CX,"GPe","globus pallidus, external segment, left",158449668,115,103,94,-24.0,-3.0,6.0
4288,7,159226061,CX,"Pu","putamen, left",158449667,121,99,94,-30.0,-3.0,10.0
4282,7,159226045,CX,"BCd","body of caudate nucleus, left",158449670,107,89,94,-16.0,-3.0,20.0
4270,8,159226173,CX,"LIG","long insular gyri, left",156685754,127,110,107,-36.0,-16.0,-1.0
4244,8,159226157,CX,"PHG-l","parahippocampal gyrus, left, lateral bank of gyrus",156685749,110,138,107,-19.0,-16.0,-29.0
4159,8,159226141,CX,"FuG-l","fusiform gyrus, left, lateral bank of gyrus",156685750,128,148,107,-37.0,-16.0,-39.0
4149,8,159226109,CX,"ITG-its","inferior temporal gyrus, left, bank of the its",156685752,136,140,107,-45.0,-16.0,-31.0
4244,6,159226219,CX,"PHG-l","parahippocampal gyrus, left, lateral bank of gyrus",156265462,103,138,85,-12.0,6.0,-29.0
4245,6,159226203,CX,"PHG-cos","parahippocampal gyrus, left, bank of the cos",156265460,107,145,84,-16.0,7.0,-36.0
4244,6,159226187,CX,"PHG-l","parahippocampal gyrus, left, lateral bank of gyrus",156265461,103,140,85,-12.0,6.0,-31.0
4160,6,159226171,CX,"FuG-cos","fusiform gyrus, left, bank of cos",156265459,107,147,84,-16.0,7.0,-38.0
4159,6,159226155,CX,"FuG-l","fusiform gyrus, left, lateral bank of gyrus",156265458,107,151,84,-16.0,7.0,-42.0
4296,6,159226139,CX,"GPi","globus pallidus, internal segment, left",158405367,107,111,86,-16.0,5.0,-2.0
4288,6,159226107,CX,"Pu","putamen, left",158405291,116,104,86,-25.0,5.0,5.0
4282,6,159226091,CX,"BCd","body of caudate nucleus, left",158405365,104,92,86,-13.0,5.0,17.0
4291,5,159226059,CX,"Acb","nucleus accumbens, left",156756810,104,118,72,-13.0,19.0,-9.0
4288,5,159226043,CX,"Pu","putamen, left",156756808,112,109,72,-21.0,19.0,0.0
4280,5,159225898,CX,"HCd","head of caudate nucleus, left",156756809,103,104,72,-12.0,19.0,5.0
4187,15,159225882,CX,"Cun-str","cuneus, left, striate",157920171,116,108,186,-25.0,-95.0,1.0
4215,15,159225866,CX,"SOG-i","superior occipital gyrus, left, inferior bank of gyrus",157920166,130,113,186,-39.0,-95.0,-4.0
4208,15,159225850,CX,"IOG-i","inferior occipital gyrus, left, inferior bank of gyrus",157920167,112,120,186,-21.0,-95.0,-11.0
4194,15,159225834,CX,"LiG-str","lingual gyrus, left, striate",157920169,108,110,186,-17.0,-95.0,-1.0
4193,15,159225818,CX,"LiG-pest","lingual gyrus, left, peristriate",157920168,111,116,186,-20.0,-95.0,-7.0
4187,15,159225802,CX,"Cun-str","cuneus, left, striate",157920170,114,107,186,-23.0,-95.0,2.0
4214,15,159225786,CX,"SOG-s","superior occipital gyrus, left, superior bank of gyrus",157920186,120,94,186,-29.0,-95.0,15.0
4121,14,159226119,CX,"Pcu-i","precuneus, left, inferior lateral bank of gyrus",157916040,98,79,177,-7.0,-86.0,30.0
4120,14,159226103,CX,"Pcu-s","precuneus, left, superior lateral bank of gyrus",157916041,96,70,177,-5.0,-86.0,39.0
4214,14,159226167,CX,"SOG-s","superior occipital gyrus, left, superior bank of gyrus",157914948,127,87,177,-36.0,-86.0,22.0
4114,14,159226151,CX,"AnG-i","angular gyrus, left, inferior bank of gyrus",157914947,125,87,177,-34.0,-86.0,22.0
4113,14,159226135,CX,"AnG-s","angular gyrus, left, superior bank of gyrus",157914946,126,84,177,-35.0,-86.0,25.0
4194,14,159225722,CX,"LiG-str","lingual gyrus, left, striate",157916923,108,109,177,-17.0,-86.0,0.0
4193,14,159226215,CX,"LiG-pest","lingual gyrus, left, peristriate",157916924,111,113,177,-20.0,-86.0,-4.0
4187,14,159226199,CX,"Cun-str","cuneus, left, striate",157916922,103,108,177,-12.0,-86.0,1.0
4186,14,159226183,CX,"Cun-pest","cuneus, left, peristriate",157916921,100,95,177,-9.0,-86.0,14.0
4215,14,159225770,CX,"SOG-i","superior occipital gyrus, left, inferior bank of gyrus",157916114,136,104,177,-45.0,-86.0,5.0
4208,14,159225754,CX,"IOG-i","inferior occipital gyrus, left, inferior bank of gyrus",157916112,126,129,177,-35.0,-86.0,-20.0
4207,14,159225738,CX,"IOG-s","inferior occipital gyrus, left, superior bank of gyrus",157916113,138,113,177,-47.0,-86.0,-4.0
4237,10,159226087,CX,"CgGr-s","cingulate gyrus, retrosplenial part, left, superior bank of gyrus",156954271,95,106,133,-4.0,-42.0,3.0
4245,10,159226071,CX,"PHG-cos","parahippocampal gyrus, left, bank of the cos",156954177,111,121,133,-20.0,-42.0,-12.0
4244,10,159226055,CX,"PHG-l","parahippocampal gyrus, left, lateral bank of gyrus",156954269,110,121,133,-19.0,-42.0,-12.0
4237,10,159226039,CX,"CgGr-s","cingulate gyrus, retrosplenial part, left, superior bank of gyrus",156954270,94,106,133,-3.0,-42.0,3.0
4160,10,159226213,CX,"FuG-cos","fusiform gyrus, left, bank of cos",156954176,118,124,133,-27.0,-42.0,-15.0
4245,9,159226117,CX,"PHG-cos","parahippocampal gyrus, left, bank of the cos",156949512,118,132,117,-27.0,-26.0,-23.0
9222,9,159226181,CX,"cc","corpus callosum",156950588,97,84,117,-6.0,-26.0,25.0
4231,9,159226165,CX,"CgGp-i","cingulate gyrus, parietal part, left, inferior bank of gyrus",156950589,96,81,117,-5.0,-26.0,28.0
4230,9,159226149,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",156950591,94,68,117,-3.0,-26.0,41.0
4074,9,159226133,CX,"PCLa-i","paracentral lobule, anterior part, left, inferior bank of gyrus",156950590,96,48,117,-5.0,-26.0,61.0
9222,7,159226101,CX,"cc","corpus callosum",157914702,103,80,94,-12.0,-3.0,29.0
4224,7,159226085,CX,"CgGf-i","cingulate gyrus, frontal part, left, inferior bank of gyrus",156499543,94,77,94,-3.0,-3.0,32.0
4223,7,159226069,CX,"CgGf-s","cingulate gyrus, frontal part, left, superior bank of gyrus",156499541,99,62,94,-8.0,-3.0,47.0
4023,7,159226053,CX,"SFG-m","superior frontal gyrus, left, medial bank of gyrus",156499542,93,52,94,-2.0,-3.0,57.0
4245,7,159226037,CX,"PHG-cos","parahippocampal gyrus, left, bank of the cos",156501573,111,146,94,-20.0,-3.0,-37.0
4244,7,159226211,CX,"PHG-l","parahippocampal gyrus, left, lateral bank of gyrus",156501572,101,144,94,-10.0,-3.0,-35.0
4160,7,159226195,CX,"FuG-cos","fusiform gyrus, left, bank of cos",156501574,116,146,94,-25.0,-3.0,-37.0
4159,7,159226179,CX,"FuG-l","fusiform gyrus, left, lateral bank of gyrus",156501575,120,152,94,-29.0,-3.0,-43.0
4158,7,159226163,CX,"FuG-its","fusiform gyrus, left, bank of the its",156501576,125,149,94,-34.0,-3.0,-40.0
4149,7,159226147,CX,"ITG-its","inferior temporal gyrus, left, bank of the its",156501577,129,145,94,-38.0,-3.0,-36.0
4710,64,158402984,CB,"Ve-VIIIB","VIIIB",156416197,93,147,168,-2.0,-77.0,-38.0
4710,64,158402888,CB,"Ve-VIIIB","VIIIB",156416196,93,150,173,-2.0,-82.0,-41.0
4713,64,158402986,CB,"Ve-X","X",156421427,93,138,144,-2.0,-53.0,-29.0
4711,64,158402970,CB,"Ve-IX","IX",156421528,93,149,153,-2.0,-62.0,-40.0
4702,64,158402938,CB,"Ve-IV","IV",156421167,93,114,142,-2.0,-51.0,-5.0
4720,63,158402948,CB,"PV-V","V, left, paravermis",156426541,103,119,155,-12.0,-64.0,-10.0
4720,63,158402900,CB,"PV-V","V, left, paravermis",156426540,103,119,157,-12.0,-66.0,-10.0
4718,63,159226131,CB,"PV-III","III, left, paravermis",156426442,103,128,128,-12.0,-37.0,-19.0
4722,63,158403012,CB,"PV-VI","VI, left, paravermis",156428327,103,121,168,-12.0,-77.0,-12.0
4724,63,158402996,CB,"PV-Crus II","Crus II, left, paravermis",156428465,103,139,188,-12.0,-97.0,-30.0
4727,63,158402966,CB,"PV-VIIIB","VIIIB, left, paravermis",156512561,103,166,157,-12.0,-66.0,-57.0
4725,63,158402934,CB,"PV-VIIB","VIIB, left, paravermis",156512883,103,165,165,-12.0,-74.0,-56.0
4725,63,158402870,CB,"PV-VIIB","VIIB, left, paravermis",156512886,103,162,165,-12.0,-74.0,-53.0
4739,62,159226067,CB,"He-Crus I","Crus I, left, lateral hemisphere",156518272,119,145,182,-28.0,-91.0,-36.0
4739,62,158402866,CB,"He-Crus I","Crus I, left, lateral hemisphere",156518272,118,145,182,-27.0,-91.0,-36.0
4736,62,158402994,CB,"He-V","V, left, lateral hemisphere",156517736,119,134,144,-28.0,-53.0,-25.0
